month,basket_id,sector,role,export_usd_mn,export_inr_cr,quantity,quantity_unit,hs_level_used,codes_summed,n_codes,vintage_flag,retrieval_date,source_file,notes
2019-06,B2_PHARMA,Pharmaceutical formulations,CORE,1316.01,,,,6,3003xx+3004xx,21,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-06,B3_AC,Air conditioners,CORE,13.31,,,,6,8415xx,6,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-06,B4_TEXTILE,MMF fabrics (PLI Textiles Annexure-II),ROBUSTNESS,71.08,,,,6,14 named codes,14,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-06,C1_LEATHER,Leather goods,CONTROL,198.27,,,,6,Chapter 42,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-06,C2_FOOTWEAR,Footwear,CONTROL,235.85,,,,6,Chapter 64,25,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-06,C3_COTTON,Cotton woven fabrics,CONTROL,154.51,,,,6,5208-5212,70,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-07,B1_MOBILE,Electronics - telephone sets (HS 8517.1x proxy for the PLI-LSEM mobile-phone segment),CORE,369.35,,,,6,851711|851712|851713|851714|851718,3,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,no-trade/absent: 851713|851714
2019-07,B2_PHARMA,Pharmaceutical formulations,CORE,1249.09,,,,6,3003xx+3004xx,21,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-07,B3_AC,Air conditioners,CORE,16.14,,,,6,8415xx,6,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-07,B4_TEXTILE,MMF fabrics (PLI Textiles Annexure-II),ROBUSTNESS,93.48,,,,6,14 named codes,14,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-07,C1_LEATHER,Leather goods,CONTROL,226.84,,,,6,Chapter 42,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-07,C2_FOOTWEAR,Footwear,CONTROL,264.55,,,,6,Chapter 64,25,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-07,C3_COTTON,Cotton woven fabrics,CONTROL,161.15,,,,6,5208-5212,70,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-08,B1_MOBILE,Electronics - telephone sets (HS 8517.1x proxy for the PLI-LSEM mobile-phone segment),CORE,372.25,,,,6,851711|851712|851713|851714|851718,3,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,no-trade/absent: 851713|851714
2019-08,B2_PHARMA,Pharmaceutical formulations,CORE,1218.08,,,,6,3003xx+3004xx,21,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-08,B3_AC,Air conditioners,CORE,16.59,,,,6,8415xx,6,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-08,B4_TEXTILE,MMF fabrics (PLI Textiles Annexure-II),ROBUSTNESS,91.44,,,,6,14 named codes,14,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-08,C1_LEATHER,Leather goods,CONTROL,219.8,,,,6,Chapter 42,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-08,C2_FOOTWEAR,Footwear,CONTROL,242.05,,,,6,Chapter 64,25,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-08,C3_COTTON,Cotton woven fabrics,CONTROL,161.43,,,,6,5208-5212,70,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-09,B1_MOBILE,Electronics - telephone sets (HS 8517.1x proxy for the PLI-LSEM mobile-phone segment),CORE,277.26,,,,6,851711|851712|851713|851714|851718,3,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,no-trade/absent: 851713|851714
2019-09,B2_PHARMA,Pharmaceutical formulations,CORE,1309.14,,,,6,3003xx+3004xx,21,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-09,B3_AC,Air conditioners,CORE,16.39,,,,6,8415xx,6,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-09,B4_TEXTILE,MMF fabrics (PLI Textiles Annexure-II),ROBUSTNESS,93.2,,,,6,14 named codes,14,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-09,C1_LEATHER,Leather goods,CONTROL,205.01,,,,6,Chapter 42,20,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-09,C2_FOOTWEAR,Footwear,CONTROL,196.35,,,,6,Chapter 64,25,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
2019-09,C3_COTTON,Cotton woven fabrics,CONTROL,162.8,,,,6,5208-5212,70,R,2026-08-29,01_raw_data/raw_trade_data/meidb_hs6_extract_2026-08-29/panel_compact.csv,
