block,basket_id,metric,value,note
stationarity,B3_AC,za_break,2020-05,evidence consistent with; no single test establishes integration order
stationarity,B4_TEXTILE,adf_lnY_ct_stat,-5.575,evidence consistent with; no single test establishes integration order
stationarity,B4_TEXTILE,adf_lnY_ct_p,0.0,evidence consistent with; no single test establishes integration order
stationarity,B4_TEXTILE,adf_lnY_lags,0,evidence consistent with; no single test establishes integration order
stationarity,B4_TEXTILE,adf_growth_c_stat,-7.678,evidence consistent with; no single test establishes integration order
stationarity,B4_TEXTILE,adf_growth_c_p,0.0,evidence consistent with; no single test establishes integration order
stationarity,B4_TEXTILE,adf_growth_lags,3,evidence consistent with; no single test establishes integration order
stationarity,B4_TEXTILE,kpss_lnY_ct_stat,0.0862,evidence consistent with; no single test establishes integration order
stationarity,B4_TEXTILE,kpss_lnY_ct_p,0.1,evidence consistent with; no single test establishes integration order
stationarity,B4_TEXTILE,kpss_growth_c_stat,0.055,evidence consistent with; no single test establishes integration order
stationarity,B4_TEXTILE,kpss_growth_c_p,0.1,evidence consistent with; no single test establishes integration order
stationarity,B4_TEXTILE,za_lnY_stat,-6.775,evidence consistent with; no single test establishes integration order
stationarity,B4_TEXTILE,za_lnY_p,0.001,evidence consistent with; no single test establishes integration order
stationarity,B4_TEXTILE,za_lnY_crit5,-5.073,evidence consistent with; no single test establishes integration order
stationarity,B4_TEXTILE,za_break,2020-02,evidence consistent with; no single test establishes integration order
robust_exCOVID,B1_MOBILE,kpss_growth_p_exCOVID,0.052,Mar-Sep 2020 removed
robust_exCOVID,B1_MOBILE,adf_growth_p_exCOVID,0.0001,Mar-Sep 2020 removed
ljung_box,B1_MOBILE,LB6_p_growth,0.5371,
ljung_box,B1_MOBILE,LB12_p_growth,0.0001,
ljung_box,B1_MOBILE,LB24_p_growth,0.0001,
level_dependence,B1_MOBILE,sd_growth_low_level_third_lgp,58.792,log-growth points (lgp) - NOT percentage growth
level_dependence,B1_MOBILE,sd_growth_high_level_third_lgp,25.4117,log-growth points (lgp) - NOT percentage growth
level_dependence,B1_MOBILE,ratio_low_over_high,2.3136,
level_dependence,B1_MOBILE,ratio_low_over_high_exCOVID,1.5228,Mar-Sep 2020 removed
lgp_to_simple_pct,B1_MOBILE,simple_pct_min_growth,-87.314,from -206.47 lgp; simple % change
lgp_to_simple_pct,B1_MOBILE,simple_pct_max_growth,176.7157,from 101.78 lgp; simple % change
robust_exCOVID,B2_PHARMA,kpss_growth_p_exCOVID,0.1,Mar-Sep 2020 removed
robust_exCOVID,B2_PHARMA,adf_growth_p_exCOVID,0.0,Mar-Sep 2020 removed
ljung_box,B2_PHARMA,LB6_p_growth,0.0,
ljung_box,B2_PHARMA,LB12_p_growth,0.0,
ljung_box,B2_PHARMA,LB24_p_growth,0.0,
level_dependence,B2_PHARMA,sd_growth_low_level_third_lgp,9.9418,log-growth points (lgp) - NOT percentage growth
level_dependence,B2_PHARMA,sd_growth_high_level_third_lgp,13.2672,log-growth points (lgp) - NOT percentage growth
level_dependence,B2_PHARMA,ratio_low_over_high,0.7493,
level_dependence,B2_PHARMA,ratio_low_over_high_exCOVID,0.7586,Mar-Sep 2020 removed
lgp_to_simple_pct,B2_PHARMA,simple_pct_min_growth,-32.3422,from -39.07 lgp; simple % change
lgp_to_simple_pct,B2_PHARMA,simple_pct_max_growth,49.5522,from 40.25 lgp; simple % change
robust_exCOVID,B3_AC,kpss_growth_p_exCOVID,0.1,Mar-Sep 2020 removed
robust_exCOVID,B3_AC,adf_growth_p_exCOVID,0.0,Mar-Sep 2020 removed
ljung_box,B3_AC,LB6_p_growth,0.0153,
ljung_box,B3_AC,LB12_p_growth,0.0356,
ljung_box,B3_AC,LB24_p_growth,0.2338,
level_dependence,B3_AC,sd_growth_low_level_third_lgp,65.7586,log-growth points (lgp) - NOT percentage growth
level_dependence,B3_AC,sd_growth_high_level_third_lgp,16.8527,log-growth points (lgp) - NOT percentage growth
level_dependence,B3_AC,ratio_low_over_high,3.902,
level_dependence,B3_AC,ratio_low_over_high_exCOVID,0.9082,Mar-Sep 2020 removed
lgp_to_simple_pct,B3_AC,simple_pct_min_growth,-93.6578,from -275.79 lgp; simple % change
lgp_to_simple_pct,B3_AC,simple_pct_max_growth,822.093,from 222.15 lgp; simple % change
robust_exCOVID,B4_TEXTILE,kpss_growth_p_exCOVID,0.1,Mar-Sep 2020 removed
robust_exCOVID,B4_TEXTILE,adf_growth_p_exCOVID,0.1259,Mar-Sep 2020 removed
ljung_box,B4_TEXTILE,LB6_p_growth,0.1338,
ljung_box,B4_TEXTILE,LB12_p_growth,0.1637,
ljung_box,B4_TEXTILE,LB24_p_growth,0.3138,
level_dependence,B4_TEXTILE,sd_growth_low_level_third_lgp,46.8698,log-growth points (lgp) - NOT percentage growth
level_dependence,B4_TEXTILE,sd_growth_high_level_third_lgp,10.3294,log-growth points (lgp) - NOT percentage growth
level_dependence,B4_TEXTILE,ratio_low_over_high,4.5375,
level_dependence,B4_TEXTILE,ratio_low_over_high_exCOVID,1.3635,Mar-Sep 2020 removed
lgp_to_simple_pct,B4_TEXTILE,simple_pct_min_growth,-88.9922,from -220.66 lgp; simple % change
lgp_to_simple_pct,B4_TEXTILE,simple_pct_max_growth,186.4572,from 105.24 lgp; simple % change
